,author,sentence,pet,pos_tag,is_euph,replacement,category
14,bs,"if she winds up as her party's default nominee if biden pulls out late, democrats will have every reason to panic",late,RB,no,,
38,bs,""" some readers may be inclined to dismiss this as merely an indictment of a troubled son",troubled,JJ,yes,,
82,bs,"because of the delta variant's vigorous attack on even the relatively small number of unvaccinated vermonters, the state has experienced one of the biggest recent covid surges, with hospitalizations up by 24 percent in the past two weeks",experienced,VBN,no,,
128,bs,"the florida governor did, in fact, do well in the early months of the crisis, when he focused state resources on protecting the elderly, only to later preside over a gigantic spike in cases",elderly,JJ,yes,,
186,bs,""" of these, nearly two-thirds come from economically disadvantaged backgrounds, and many don't speak english at home",disadvantaged,VBN,yes,,
202,bs,it shouldn't be too late to reclaim these understandings again,late,JJ,no,,
219,bs,"in san francisco and los angeles, to homeless encampments and addicts",addicts,NNS,yes,,
222,bs,"like an addict who can't endure the agony of withdrawal, we could soon arrive at a moment when we will not be able to accept the price of taming inflation, and instead we'll be tempted to inflate our way out of our debts",addict,NN,yes,,
310,bs,"in the brooklyn neighborhood of east new york last month, wayne washington, 25, was killed after being shot multiple times in the chest, and a 19-year-old woman sustained a bullet injury in her torso",chest,NN,no,,
335,bs,"local shops are closing, neighborhoods are decaying, encampments of drug addicts have proliferated, and streets are befouled by human excrement -- a set of failures michael shellenberger calls in his thoroughly researched and convincing new book, ""san fransicko: why progressives ruin cities,"" ""the breakdown of civilization on america's west coast",addicts,NNS,yes,,
413,bs,"a typical example: the american medical association recently published its ""guide to language, narrative and concepts,"" which includes such recommendations as replacing the term ""disadvantaged"" with ""historically and intentionally excluded,"" ""social problem"" with ""social injustice,"" ""vulnerable"" with ""oppressed,"" and ""blacklist"" and ""blackmail"" with words that don't suggest an association between the word ""black"" and ""suspicion or disapproval",disadvantaged,VBN,yes,,
478,bs,"if you haven't followed the drip-drip-drip of revelations, late in 2019 michael e",late,RB,no,,
508,bs,"a world in which several combustible regions each have multiple nuclear powers in varying configurations of alliance and hostility is a recipe for miscalculation, accident and tragedy",accident,NN,yes,,
516,bs,"in july, the president dismissed price increases as ""expected, and expected to be temporary",dismissed,VBD,no,,
555,bs,"what he doesn't mention is that his admiration for the unflinching high-mindedness of a heschel or an aquinas somehow didn't stop him from becoming a late but enthusiastic convert to the cult of donald trump -- that is, of the hedonistic bully",late,JJ,no,,
582,cb,"he appealed on the grounds that the indictment was invalid: the jury had been drawn from a pool of registered voters, which, because the state constitution had disenfranchised most black voters by the time of his trial, was almost entirely white, and williams argued that this was a violation of his 14th amendment rights",invalid,JJ,no,,
701,cb,") in the late 1800s, opponents of progress had exercised a methodical, decades-long campaign to subjugate and oppress black people",late,JJ,no,,
768,cb,"i had not gone to fancy prep schools or ivy league colleges, but a small high school that had served black students since the late 1800s and to a historically black college, grambling state university, the closest university to my hometown",late,JJ,no,,
830,cb,"it doesn't matter whether or not the person that is accosting your son or daughter or my son or daughter -- my wife, your husband, my mother, your parents -- it doesn't matter whether or not they were deprived as a youth",deprived,VBN,yes,,
857,cb,"the question now is whether, at the 11th hour, his foray into the battle will prove to be too little too late",late,JJ,no,,
1095,cb,""" it was already too late for the president to have the influence on the debate that the office of the presidency affords",late,JJ,no,,
1159,cb,"but even if they succeed in passing both the infrastructure framework and the social spending bill, those investments may come too late to discharge growing dissatisfaction",late,JJ,no,,
1182,cb,"the son who was so upset by it, blake murphy, is now a lawyer in his late 20s who works for the national republican congressional committee",late,JJ,no,,
1335,cb,"but i never said the thing i thought i couldn't say: that parenthood was too much for me to do on my own, that it was consuming me, that i sometimes felt trapped in it, that it sometimes felt as if someone were sitting on my chest and i couldn't breathe",chest,NN,no,,
1348,cb,"when people saw me, when they experienced me, they may well have seen a free spirit, even a reckless one",experienced,VBD,no,,
1394,cb,""" maybe some people who feel privately broken as i did will read this, and they will realize that they are not alone and that it is not too late to change",late,JJ,no,,
1441,cb,"i settled on a purpose while writing the book: i had suffered -- from childhood sexual abuse and the questioning and shame in its wake -- because i hadn't had the language, skills and courage to better navigate what i had experienced",experienced,VBN,no,,
1450,cb,""" that is the future mark zuckerberg's troubled facebook is aiming toward as it renames itself meta",troubled,JJ,yes,,
1494,cb,i must say that i feel like an addict finally getting clean,addict,NN,yes,,
1576,cb,"i believe that i experienced the pandemic like many others: stunned and isolated, shocked by the sudden withdrawal of social life and social customs",experienced,VBD,no,,
1639,cb,"this week, one defense lawyer tried to get the civil rights icon jesse jackson kicked out of the courtroom, saying: the defense even called for a mistrial because of the presence of these preachers, but the judge dismissed the motion and called the defense's comments about black preachers ""reprehensible",dismissed,VBD,no,,
1697,cb,"he denied, diminished and dismissed them",dismissed,VBD,no,,
1768,cb,"as politico noted, he was far more outspoken as vice president, giving at least twice the number of interviews by his first october in office as he has while president, sometimes even visiting all three network morning shows in a single day",outspoken,JJ,,,
1814,db,for most of my life i've considered myself pro-choice because i didn't have any confidence that i knew when life began and didn't want to impose my views on others,pro-choice,JJ,,,
1849,db,"people are living longer, staying healthier longer and accomplishing things late in life that once seemed possible only at younger ages",late,RB,,,
1862,db,"classified as disabled dropped by a third between 1982 and 2005, while the share who were institutionalized fell nearly in half",disabled,JJ,,,
1906,db,"as a whole, americans seem to be aging more slowly than before",aging,VBG,yes,,
